iter	Passed	Remaining
401	12654	18824
402	12684	18791
403	12713	18755
404	12741	18718
405	12768	18681
406	12797	18645
407	12824	18608
408	12852	18571
409	12878	18533
410	12904	18492
411	12929	18452
412	12954	18411
413	12979	18371
414	13004	18331
415	13029	18290
416	13055	18252
417	13079	18210
418	13103	18170
419	13128	18130
420	13152	18088
421	13175	18046
422	13198	18003
423	13220	17960
424	13244	17919
425	13268	17877
426	13292	17837
427	13316	17796
428	13341	17756
429	13364	17716
430	13388	17675
431	13412	17634
432	13437	17596
433	13462	17556
434	13489	17520
435	13518	17487
436	13547	17453
437	13576	17419
438	13615	17399
439	13655	17379
440	13690	17353
441	13724	17326
442	13767	17309
443	13798	17279
444	13828	17246
445	13858	17214
446	13899	17195
447	13937	17173
448	13976	17151
449	14007	17120
450	14037	17087
451	14064	17052
452	14093	17017
453	14121	16983
454	14149	16948
455	14176	16912
456	14205	16878
457	14235	16846
458	14265	16814
459	14297	16784
460	14328	16752
461	14359	16721
462	14394	16695
463	14428	16667
464	14464	16642
465	14515	16634
466	14550	16606
467	14580	16574
468	14611	16543
469	14647	16517
470	14677	16484
471	14706	16451
472	14742	16425
473	14772	16393
474	14804	16363
475	14834	16329
476	14862	16295
477	14891	16262
478	14921	16230
479	14956	16203
480	14990	16174
481	15024	16147
482	15059	16119
483	15092	16090
484	15123	16058
485	15153	16027
486	15181	15991
487	15209	15957
488	15235	15920
489	15263	15886
490	15290	15850
491	15316	15814
492	15344	15780
493	15371	15745
494	15398	15709
495	15424	15673
496	15450	15637
497	15474	15599
498	15500	15563
499	15533	15533
500	15563	15500
501	15592	15468
502	15621	15435
503	15648	15400
504	15674	15364
505	15702	15330
506	15730	15296
507	15759	15263
508	15791	15232
509	15819	15199
510	15845	15163
511	15874	15130
512	15901	15095
513	15928	15061
514	15955	15026
515	15980	14989
516	16007	14954
517	16031	14917
518	16058	14882
519	16082	14845
520	16108	14809
521	16133	14773
522	16158	14737
523	16183	14701
524	16209	14665
525	16237	14632
526	16265	14598
527	16293	14565
528	16323	14533
529	16352	14501
530	16382	14469
531	16412	14437
532	16443	14406
533	16473	14376
534	16505	14346
535	16539	14317
536	16570	14287
537	16598	14253
538	16624	14218
539	16651	14184
540	16676	14148
541	16703	14114
542	16738	14087
543	16774	14060
544	16818	14041
545	16846	14008
546	16872	13972
547	16897	13937
548	16923	13902
549	16949	13867
550	16983	13839
551	17009	13804
552	17035	13770
553	17061	13735
554	17086	13700
555	17112	13665
556	17135	13628
557	17160	13592
558	17186	13558
559	17211	13523
560	17311	13546
561	17347	13520
562	17375	13486
563	17400	13451
564	17424	13415
565	17449	13380
566	17474	13344
567	17500	13310
568	17532	13280
569	17581	13263
570	17622	13240
571	17659	13213
572	17690	13183
573	17720	13151
574	17752	13121
575	17782	13090
576	17813	13058
577	17851	13033
578	17904	13018
579	17936	12988
580	17961	12953
581	17989	12920
582	18017	12887
583	18042	12852
584	18066	12816
585	18094	12783
586	18119	12748
587	18144	12713
588	18171	12679
589	18198	12646
590	18226	12613
591	18256	12582
592	18287	12551
593	18320	12522
594	18354	12493
595	18386	12463
596	18420	12434
597	18453	12404
598	18485	12374
599	18518	12345
600	18552	12316
601	18591	12291
602	18624	12261
603	18653	12229
604	18682	12197
605	18711	12165
606	18738	12132
607	18765	12098
608	18791	12064
609	18817	12030
610	18841	11995
611	18868	11962
612	18893	11927
613	18918	11893
614	18943	11858
615	18968	11824
616	18994	11790
617	19022	11758
618	19048	11724
619	19073	11690
620	19099	11656
621	19124	11622
622	19149	11588
623	19174	11553
624	19200	11520
625	19226	11486
626	19251	11452
627	19277	11418
628	19302	11385
629	19327	11351
630	19351	11316
631	19376	11282
632	19400	11248
633	19426	11214
634	19451	11180
635	19475	11146
636	19501	11112
637	19532	11082
638	19566	11054
639	19599	11024
640	19633	10995
641	19669	10968
642	19704	10939
643	19732	10908
644	19762	10876
645	19797	10849
646	19842	10825
647	19875	10796
648	19904	10765
649	19933	10733
650	19960	10700
651	19988	10668
652	20016	10636
653	20044	10604
654	20071	10572
655	20104	10542
656	20139	10514
657	20174	10485
658	20216	10461
659	20292	10453
660	20336	10429
661	20366	10398
662	20395	10367
663	20426	10336
664	20456	10305
665	20490	10275
666	20519	10244
667	20551	10214
668	20581	10182
669	20612	10152
670	20643	10121
671	20671	10089
672	20704	10059
673	20737	10030
674	20770	10000
675	20797	9967
676	20821	9934
677	20847	9901
678	20873	9868
679	20897	9834
680	20923	9801
681	20949	9768
682	20975	9735
683	21002	9703
684	21026	9669
685	21054	9637
686	21077	9603
687	21101	9569
688	21125	9535
689	21152	9503
690	21181	9471
691	21206	9438
692	21230	9405
693	21257	9373
694	21287	9342
695	21321	9312
696	21349	9281
697	21380	9250
698	21411	9220
699	21445	9190
700	21471	9158
701	21497	9125
702	21523	9093
703	21550	9060
704	21586	9032
705	21624	9005
706	21655	8974
707	21683	8942
708	21714	8912
709	21743	8880
710	21774	8850
711	21805	8820
712	21834	8788
713	21867	8759
714	21900	8729
715	21930	8698
716	21961	8668
717	21990	8637
718	22016	8604
719	22041	8571
720	22066	8539
721	22091	8506
722	22116	8473
723	22142	8441
724	22169	8408
725	22195	8376
726	22220	8344
727	22245	8311
728	22273	8279
729	22303	8249
730	22336	8219
731	22364	8188
