iter	MultiClass
0	1.3226742
1	1.270628207
2	1.229918136
3	1.191009718
4	1.159532062
5	1.131639409
6	1.105104271
7	1.082930139
8	1.061667365
9	1.043626715
10	1.028186268
11	1.013946754
12	1.000471582
13	0.9892784826
14	0.9779282501
15	0.9686249823
16	0.9587096814
17	0.9492047719
18	0.9408354024
19	0.9334253921
20	0.9275619855
21	0.9211618957
22	0.9144674767
23	0.9077411249
24	0.9025748266
25	0.8978251756
26	0.8926794002
27	0.8876200358
28	0.882541154
29	0.8787839304
30	0.8752833435
31	0.870416618
32	0.8663909534
33	0.861275539
34	0.8564126255
35	0.8532918877
36	0.8506252379
37	0.8477631762
38	0.8432928222
39	0.839705098
40	0.8364950404
41	0.8334849484
42	0.8307429764
43	0.8274081371
44	0.8228372746
45	0.8207949304
46	0.8165503597
47	0.8136780216
48	0.810123294
49	0.8058740164
50	0.8024786351
51	0.7994164665
52	0.7971344629
53	0.7961466807
54	0.7941021524
55	0.7907328591
56	0.7879046874
57	0.7855262108
58	0.781787618
59	0.7793883092
60	0.7767185587
61	0.7741164693
62	0.7715962308
63	0.7693041826
64	0.7674157127
65	0.765312964
66	0.7629977077
67	0.7604663991
68	0.758637808
69	0.7565109548
70	0.7539774297
71	0.7520763606
72	0.7498436187
73	0.7475987896
74	0.7459723574
75	0.7437384215
76	0.7413115605
77	0.7380874135
78	0.7353749571
79	0.7334238827
80	0.7316553115
81	0.7294785044
82	0.7274541326
83	0.7258002959
84	0.7234903211
85	0.7214744192
86	0.7185307607
87	0.7161071646
88	0.7140137289
89	0.712432618
90	0.7108201344
91	0.7082807077
92	0.7065492
93	0.7054214024
94	0.7030323649
95	0.7010349518
96	0.6995247478
97	0.6964966003
98	0.6934622185
99	0.6908713349
100	0.689598205
101	0.6862593053
102	0.6849426547
103	0.6831026827
104	0.6815009257
105	0.6796936928
106	0.6767171164
107	0.675158444
108	0.6727067801
109	0.6703375303
110	0.6682644752
111	0.6669014821
112	0.664649853
113	0.663461158
114	0.6618122254
115	0.6597972916
116	0.6573177577
117	0.6557956633
118	0.6537625948
119	0.6524449186
120	0.6506670539
121	0.6486695253
122	0.6467447003
123	0.643790376
124	0.6421298263
125	0.6395230486
126	0.6379232505
127	0.6358575922
128	0.6334713919
129	0.631823972
130	0.6297050855
131	0.6280354918
132	0.6260208156
133	0.6241568924
134	0.6222364318
135	0.6200333405
136	0.6183378159
137	0.6170255813
138	0.6159756545
139	0.6145245854
140	0.6125802024
141	0.610588174
142	0.6091380704
143	0.6077117957
144	0.605395408
145	0.6038172467
146	0.6017869439
147	0.6000125769
148	0.598113248
149	0.5965964866
150	0.5948543761
151	0.5933437218
152	0.592070413
153	0.5910071868
154	0.5894129581
155	0.5875695062
156	0.5856676858
157	0.5833228968
158	0.58085109
159	0.5793671419
160	0.5776670653
161	0.5760368931
162	0.5746154535
163	0.5730440197
164	0.5719489043
165	0.5705155088
166	0.5690686646
167	0.567666181
168	0.5657798078
169	0.563835666
170	0.5617340891
171	0.5599559881
172	0.5584525114
173	0.5571551996
174	0.5552747094
175	0.553765387
176	0.5520923394
177	0.5501457777
178	0.5493040801
179	0.5482216828
180	0.5466876524
181	0.5448719624
182	0.5432631719
183	0.5415587437
184	0.5404622757
185	0.5389196348
186	0.5378154641
187	0.5360899171
188	0.5346527691
189	0.5330324946
190	0.5312065322
191	0.5300801683
192	0.5288351161
193	0.5276761706
194	0.5263412188
195	0.5254867656
196	0.5246769176
197	0.5237115609
198	0.5226979514
199	0.5217485855
200	0.5204161891
201	0.5198199651
202	0.5186829977
203	0.5172395194
204	0.5165530093
205	0.5155338203
206	0.5143001314
207	0.5126405818
208	0.5116033823
209	0.5105611577
210	0.5094664579
211	0.5081819755
212	0.507151903
213	0.5052385613
214	0.504035597
215	0.5027451273
216	0.5014519246
217	0.4999193227
218	0.498125609
219	0.496794833
220	0.4956593045
221	0.4940256675
222	0.4927999719
223	0.491784488
224	0.4905563032
225	0.4892227299
226	0.4878077649
227	0.4861997712
228	0.4848512971
229	0.4837882515
230	0.4823084777
231	0.4810630634
232	0.4799516776
233	0.4787102694
234	0.4774628491
235	0.4760142988
236	0.4751790088
237	0.4738262838
238	0.4724874529
239	0.4710068694
240	0.4690645154
241	0.4681268389
242	0.4663373597
243	0.4650266684
244	0.4634597937
245	0.4622151023
246	0.4616857373
247	0.4608189416
248	0.4595627893
249	0.4585614412
250	0.4572358508
251	0.456458911
252	0.4553703363
253	0.4542425899
254	0.4528622692
255	0.4511708262
256	0.4502786205
257	0.449200624
258	0.4479072263
259	0.4471439903
260	0.4461464943
261	0.4451497193
262	0.4442611989
263	0.4427896524
264	0.4420076339
265	0.4407195037
266	0.4393926328
267	0.4384012089
268	0.4372892489
269	0.436653677
270	0.4354748107
271	0.4342791063
272	0.4332227465
273	0.4322935323
274	0.4315952165
275	0.430533774
276	0.4298262203
277	0.4286487489
278	0.4275729624
279	0.4265865452
280	0.4252437753
281	0.4239268244
282	0.4224761129
283	0.4217526523
284	0.4206746964
285	0.41997288
286	0.4193497604
287	0.4185495492
288	0.417692965
289	0.4166458959
290	0.4159401049
291	0.4147901958
292	0.4137718294
293	0.4127682429
294	0.4114254363
295	0.4104455308
296	0.4096081415
297	0.408848453
298	0.4079651591
299	0.4064595886
300	0.405332168
301	0.4043946582
302	0.4036665038
303	0.4025142121
304	0.4015499056
305	0.4009881725
306	0.4003618034
307	0.3988094965
308	0.3980838744
309	0.3969837666
310	0.3959015827
311	0.3950896235
312	0.3941817511
313	0.3935559666
314	0.3929347663
315	0.3922359169
316	0.3910522174
317	0.3906157497
318	0.3896084029
319	0.3887515531
320	0.3880340534
321	0.3871539518
322	0.3862332557
323	0.3857976936
324	0.3851696422
325	0.3843340699
326	0.3832530317
327	0.3825194305
328	0.3814832205
329	0.3804222481
330	0.3795847166
331	0.3789950202
332	0.3781599849
333	0.3773707618
334	0.3764669634
335	0.3757072716
336	0.3749899497
337	0.374442019
338	0.3736072043
339	0.3725903077
340	0.3717045986
341	0.3707231308
342	0.3698938576
343	0.3691337603
344	0.3685059837
345	0.3678099193
346	0.3671628072
347	0.3658999426
348	0.3650661592
349	0.3642016967
350	0.3637574224
351	0.3627564453
352	0.3620153482
353	0.3610940544
354	0.3599103802
355	0.3594435265
356	0.3589003481
357	0.3582839373
358	0.3573028004
359	0.3564349736
360	0.355985886
361	0.3554306551
362	0.3550476742
363	0.3545302464
364	0.3535426486
365	0.3528489842
366	0.3520209676
367	0.3511762649
368	0.3501280662
369	0.3493681553
370	0.3488555854
371	0.3481646894
372	0.3474752828
373	0.3468828861
374	0.346052384
375	0.3454825589
376	0.3448165817
377	0.3437506282
378	0.3423397088
379	0.341735947
380	0.3411127721
381	0.3403755344
382	0.3396827998
383	0.3391084227
384	0.3384783126
385	0.3376611567
386	0.337365931
387	0.3364795281
388	0.3358020882
389	0.3355225905
390	0.3349550255
391	0.3342044387
392	0.3333998066
393	0.3327016539
394	0.3315744654
395	0.3309762067
396	0.3304916582
397	0.3299622604
398	0.3295031849
399	0.3289408729
400	0.3283952297
401	0.3276212625
402	0.327082412
403	0.3261590273
404	0.3255662926
405	0.3247515108
406	0.3243322967
407	0.3238083982
408	0.3233954605
409	0.3229584056
410	0.3220673633
411	0.3214694751
412	0.3206772355
413	0.3202389336
414	0.3195146627
415	0.3184135592
416	0.3176436832
417	0.317294908
418	0.3167574725
419	0.3160775011
420	0.3150825658
421	0.3145030177
422	0.3137790417
423	0.3133539256
424	0.3128470348
425	0.3124261085
426	0.3113764391
427	0.310761031
428	0.3099819664
429	0.3095786423
430	0.3088408056
431	0.3084753889
432	0.3077002621
433	0.3070826085
434	0.3065321683
435	0.3058854335
436	0.3052572341
437	0.3046361027
438	0.3039584047
439	0.3032974582
440	0.3026522186
441	0.3020748715
442	0.3013176863
443	0.300643555
444	0.2999454294
445	0.2992426264
446	0.2982431148
447	0.2977153807
448	0.2969677102
449	0.2964121551
450	0.2960691684
451	0.2955338169
452	0.2951368541
453	0.2945328986
454	0.2940788987
455	0.293504359
